,section,issue,date_published,authors,name,is_highlighted,prb_citations
10.1103/PhysRevB.99.165142,sect-articles-electronic-structure-and-strongly-correlated-systems,99/16,2019-04-26,"Shan-Yue Wang, Da Wang, and Qiang-Hua Wang",Critical exponents of the nonlinear sigma model on a Grassmann manifold U(N)/U(m)U(N−m) by the 1/N-expansion,False,3
10.1103/PhysRevB.99.165143,sect-articles-electronic-structure-and-strongly-correlated-systems,99/16,2019-04-29,"Brenden Roberts, Shenghan Jiang, and Olexei I. Motrunich",Deconfined quantum critical point in one dimension,False,26
10.1103/PhysRevB.99.165144,sect-articles-electronic-structure-and-strongly-correlated-systems,99/16,2019-04-29,"Peter Kissin, Sheng Ran, Dylan Lovinger, Verner K. Thorsmølle, Noravee Kanchanavatee, Kevin Huang, M. Brian Maple, and Richard D. Averitt",Quasiparticle relaxation dynamics in URu2−xFexSi2 single crystals,False,0
10.1103/PhysRevB.99.165145,sect-articles-electronic-structure-and-strongly-correlated-systems,99/16,2019-04-29,Alexander A. Zyuzin and Pascal Simon,Disorder-induced exceptional points and nodal lines in Dirac superconductors,False,30
10.1103/PhysRevB.99.165146,sect-articles-electronic-structure-and-strongly-correlated-systems,99/16,2019-04-29,"Ming-Xun Deng, Hou-Jian Duan, Wei Luo, W. Y. Deng, Rui-Qiang Wang, and L. Sheng",Quantum oscillation modulated angular dependence of the positive longitudinal magnetoconductivity and planar Hall effect in Weyl semimetals,False,18
10.1103/PhysRevB.99.165147,sect-articles-electronic-structure-and-strongly-correlated-systems,99/16,2019-04-30,"Yuee Xie, Jin Cai, Jinwoong Kim, Po-Yao Chang, and Yuanping Chen",Hopf-chain networks evolved from triple points,False,15
10.1103/PhysRevB.99.165148,sect-articles-electronic-structure-and-strongly-correlated-systems,99/16,2019-04-30,"S. Lin, L. Jin, and Z. Song",Symmetry protected topological phases characterized by isolated exceptional points,False,38
10.1103/PhysRevB.99.165149,sect-articles-electronic-structure-and-strongly-correlated-systems,99/16,2019-04-30,"Nikolay Gnezdilov, Alexander Krikun, Koenraad Schalm, and Jan Zaanen",Isolated zeros in the spectral function as signature of a quantum continuum,False,3
10.1103/PhysRevB.99.165150,sect-articles-electronic-structure-and-strongly-correlated-systems,99/16,2019-04-30,"Sauri Bhattacharyya, Sankha Subhra Bakshi, Samrat Kadge, and Pinaki Majumdar",Langevin approach to lattice dynamics in a charge-ordered polaronic system,False,3
10.1103/PhysRevB.99.165151,sect-articles-electronic-structure-and-strongly-correlated-systems,99/16,2019-04-30,"C. Walsh, P. Sémon, G. Sordi, and A.-M. S. Tremblay",Critical opalescence across the doping-driven Mott transition in optical lattices of ultracold atoms,True,12
10.1103/PhysRevB.99.165201,sect-articles-semiconductors-i-bulk,99/16,2019-04-08,Himani Mishra and Sitangshu Bhattacharya,Giant exciton-phonon coupling and zero-point renormalization in hexagonal monolayer boron nitride,False,12
10.1103/PhysRevB.99.165202,sect-articles-semiconductors-i-bulk,99/16,2019-04-11,"Andrey Baydin, Rustam Gatamov, Halina Krzyzanowska, Christopher J. Stanton, and Norman Tolk",Energy-dependent amplitude of Brillouin oscillations in GaP,False,7
10.1103/PhysRevB.99.165301,sect-articles-semiconductors-ii-surfaces-interfaces-microstructures-and-related-topics,99/16,2019-04-01,"Shoichi Sato, Mitsuki Ichihara, Masaaki Tanaka, and Ryosho Nakane",Electron spin and momentum lifetimes in two-dimensional Si accumulation channels: Demonstration of Schottky-barrier spin metal-oxide-semiconductor field-effect transistors at room temperature,False,16
10.1103/PhysRevB.99.165302,sect-articles-semiconductors-ii-surfaces-interfaces-microstructures-and-related-topics,99/16,2019-04-03,"V. Kaladzhyan, A. A. Zyuzin, and P. Simon",RKKY interaction on the surface of three-dimensional Dirac semimetals,True,18
10.1103/PhysRevB.99.165303,sect-articles-semiconductors-ii-surfaces-interfaces-microstructures-and-related-topics,99/16,2019-04-04,"A. R. Korsch, G. N. Nguyen, M. Schmidt, C. Ebler, S. R. Valentin, P. Lochner, C. Rothfuchs, A. D. Wieck, and A. Ludwig",Temperature and bias anomalies in the photoluminescence of InAs quantum dots coupled to a Fermi reservoir,False,5
10.1103/PhysRevB.99.165304,sect-articles-semiconductors-ii-surfaces-interfaces-microstructures-and-related-topics,99/16,2019-04-08,A. A. Zabolotnykh and V. A. Volkov,Interaction of gated and ungated plasmons in two-dimensional electron systems,False,30
10.1103/PhysRevB.99.165305,sect-articles-semiconductors-ii-surfaces-interfaces-microstructures-and-related-topics,99/16,2019-04-10,"Masoomeh Taherkhani, Morten Willatzen, Emil V. Denning, Igor E. Protsenko, and Niels Gregersen",High-fidelity optical quantum gates based on type-II double quantum dots in a nanowire,False,7
10.1103/PhysRevB.99.165306,sect-articles-semiconductors-ii-surfaces-interfaces-microstructures-and-related-topics,99/16,2019-04-15,"Marko J. Rančić, Silas Hoffman, Constantin Schrade, Jelena Klinovaja, and Daniel Loss",Entangling spins in double quantum dots and Majorana bound states,False,12
10.1103/PhysRevB.99.165307,sect-articles-semiconductors-ii-surfaces-interfaces-microstructures-and-related-topics,99/16,2019-04-22,"Li Chen, Ying-Hai Wu, and Xin Liu",Superconducting spin properties of Majorana nanowires and the associated spin-orbit coupling driven transverse supercurrent,False,2
10.1103/PhysRevB.99.165308,sect-articles-semiconductors-ii-surfaces-interfaces-microstructures-and-related-topics,99/16,2019-04-22,"F. Ungar, M. Cygorek, and V. M. Axt",Origins of overshoots in the exciton spin dynamics in semiconductors,False,0
10.1103/PhysRevB.99.165309,sect-articles-semiconductors-ii-surfaces-interfaces-microstructures-and-related-topics,99/16,2019-04-23,"Yanan Wang, Yongliang Shi, Chuanyu Zhao, Qijing Zheng, and Jin Zhao",Photogenerated carrier dynamics at the anatase/rutile TiO2 interface,False,15
10.1103/PhysRevB.99.165310,sect-articles-semiconductors-ii-surfaces-interfaces-microstructures-and-related-topics,99/16,2019-04-25,"Stefan Häußler, Julia Benedikter, Kerem Bray, Blake Regan, Andreas Dietrich, Jason Twamley, Igor Aharonovich, David Hunger, and Alexander Kubanek",Diamond photonics platform based on silicon vacancy centers in a single-crystal diamond membrane and a fiber cavity,False,32
10.1103/PhysRevB.99.165311,sect-articles-semiconductors-ii-surfaces-interfaces-microstructures-and-related-topics,99/16,2019-04-25,"Yago del Valle-Inclan Redondo, Helgi Sigurdsson, Hamid Ohadi, Ivan A. Shelykh, Yuri G. Rubo, Zacharias Hatzopoulos, Pavlos G. Savvidis, and Jeremy J. Baumberg","Observation of inversion, hysteresis, and collapse of spin in optically trapped polariton condensates",False,9
10.1103/PhysRevB.99.165401,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-01,"Sheila Edalatpour, Vahid Hatamipour, and Mathieu Francoeur",Spectral redshift of the thermal near field scattered by a probe,False,10
10.1103/PhysRevB.99.165402,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-01,Qing-Dong Jiang and Frank Wilczek,Axial Casimir force,False,9
10.1103/PhysRevB.99.165403,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-01,M. Sammon and B. I. Shklovskii,Attraction of indirect excitons in van der Waals heterostructures with three semiconducting layers,False,8
10.1103/PhysRevB.99.165404,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-02,"Artem Borin, Ines Safi, and Eugene Sukhorukov",Coulomb drag effect induced by the third cumulant of current,False,4
10.1103/PhysRevB.99.165405,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-02,"P. A. Erdman, J. T. Peltonen, B. Bhandari, B. Dutta, H. Courtois, R. Fazio, F. Taddei, and J. P. Pekola",Nonlinear thermovoltage in a single-electron transistor,False,11
10.1103/PhysRevB.99.165406,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-02,"Yi-Ru Hao, Luyang Wang, and Dao-Xin Yao",Imbert-Fedorov shift in pseudospin−N/2 semimetals and nodal-line semimetals,False,5
10.1103/PhysRevB.99.165407,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-04,Ma Luo,Antiferromagnetic spin valve based on a heterostructure of two-dimensional hexagonal crystals,False,14
10.1103/PhysRevB.99.165408,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-04,"Ji-Hun Kang, Sheng Wang, and Feng Wang",Tunneling of two-dimensional surface polaritons through nanogaps in atomically thin crystals,False,3
10.1103/PhysRevB.99.165409,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-05,"Mani Chandra, Gitansh Kataria, Deshdeep Sahdev, and Ravishankar Sundararaman",Hydrodynamic and ballistic AC transport in two-dimensional Fermi liquids,False,15
10.1103/PhysRevB.99.165410,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-08,"Huisheng Zhang, Wei Qin, Mingxing Chen, Ping Cui, Zhenyu Zhang, and Xiaohong Xu",Converting a two-dimensional ferromagnetic insulator into a high-temperature quantum anomalous Hall system by means of an appropriate surface modification,False,19
10.1103/PhysRevB.99.165411,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-09,"Sarthak Das, Garima Gupta, and Kausik Majumdar",Layer degree of freedom for excitons in transition metal dichalcogenides,False,20
10.1103/PhysRevB.99.165412,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-09,"Behnaz Babagholami, Ali Sadeghi, and M. Etezadifar",Partial commensuration and Amontons laws of friction adapted for large atomic interfaces,False,1
10.1103/PhysRevB.99.165413,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-10,"Emma L. Minarelli, Kim Pöyhönen, Gerwin A. R. van Dalum, Teemu Ojanen, and Lars Fritz",Engineering of Chern insulators and circuits of topological edge states,False,7
10.1103/PhysRevB.99.165414,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-10,"E. V. Repin, Y. Chen, and Y. V. Nazarov",Topological properties of multiterminal superconducting nanostructures: Effect of a continuous spectrum,False,18
10.1103/PhysRevB.99.165415,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-10,B. S. Monozon and P. Schmelcher,Exciton absorption spectra in narrow armchair graphene nanoribbons in an electric field,False,5
10.1103/PhysRevB.99.165416,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-10,"Zhao Liu, Dong-Bo Zhang, Gotthard Seifert, Ying Liu, and Kai Chang",Interfacial Landau levels in bent graphene racetracks,False,4
10.1103/PhysRevB.99.165417,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-10,"Ivan Sekulic, Dimitrios C. Tzarouchis, Pasi Ylä-Oijala, Eduard Ubeda, and Juan M. Rius",Enhanced discretization of surface integral equations for resonant scattering analysis of sharp-edged plasmonic nanoparticles,False,8
10.1103/PhysRevB.99.165418,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-11,"Sanjib Kumar Das, Binghai Yan, Jeroen van den Brink, and Ion Cosma Fulga",Topological crystalline insulators from stacked graphene layers,False,5
10.1103/PhysRevB.99.165419,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-11,"R. Taranko, T. Kwapiński, and T. Domański",Transient dynamics of a quantum dot embedded between two superconducting leads and a metallic reservoir,False,12
10.1103/PhysRevB.99.165420,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-15,"Patrick M. Vora, Allan S. Bracker, Samuel G. Carter, Mijin Kim, Chul Soo Kim, and Daniel Gammon",Strong coupling of a quantum dot molecule to a photonic crystal cavity,True,7
10.1103/PhysRevB.99.165421,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-16,"Federico Andreatta, Habib Rostami, Antonija Grubišić Čabo, Marco Bianchi, Charlotte E. Sanders, Deepnarayan Biswas, Cephise Cacho, Alfred J. H. Jones, Richard T. Chapman, Emma Springate, Phil D. C. King, Jill A. Miwa, Alexander Balatsky, Søren Ulstrup, and Philip Hofmann",Transient hot electron dynamics in single-layer TaS2,False,10
10.1103/PhysRevB.99.165422,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-17,Oded Zilberberg and Alessandro Romito,Sensing electrons during an adiabatic coherent transport passage,False,1
10.1103/PhysRevB.99.165423,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-18,"Fan Yang, Yao-Ting Wang, Paloma A. Huidobro, and John B. Pendry",Nonlocal effects in singular plasmonic metasurfaces,True,10
10.1103/PhysRevB.99.165424,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-22,"Yoshiyuki Miyamoto, Hong Zhang, Xinlu Cheng, and Angel Rubio",Ab initio simulation of laser-induced water decomposition close to carbon nanotubes,False,9
10.1103/PhysRevB.99.165425,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-22,"Jacques Bossy, Jacques Ollivier, and H. R. Glyde","Phonons, rotons, and localized Bose-Einstein condensation in liquid He4 confined in nanoporous FSM-16",False,8
10.1103/PhysRevB.99.165426,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-22,"Bartłomiej Rzeszotarski, Alina Mreńca-Kolasińska, and Bartłomiej Szafran",Electron interferometry and quantum spin Hall phase in silicene,False,2
10.1103/PhysRevB.99.165427,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-26,Sergey Smirnov,Majorana finite-frequency nonequilibrium quantum noise,False,15
10.1103/PhysRevB.99.165428,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-26,"M. Saiz-Bretín, L. Medrano Sandonas, R. Gutierrez, G. Cuniberti, and F. Domínguez-Adame",Impact of device geometry on electron and phonon transport in graphene nanorings,False,6
10.1103/PhysRevB.99.165429,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-29,"Mahsa Mokhtarzadeh, Jeffrey G. Ulbrandt, Peco Myint, Suresh Narayanan, Randall L. Headrick, and Karl F. Ludwig, Jr.",Nanoscale kinetics and dynamics during Ar+ patterning of SiO2,False,8
10.1103/PhysRevB.99.165430,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-29,"Pilkyung Moon, Mikito Koshino, and Young-Woo Son",Quasicrystalline electronic states in 30∘ rotated twisted bilayer graphene,False,50
10.1103/PhysRevB.99.165431,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-29,"B. Graczykowski, A. Gueddida, B. Djafari-Rouhani, H.-J. Butt, and G. Fytas",Brillouin light scattering under one-dimensional confinement: Symmetry and interference self-canceling,False,10
10.1103/PhysRevB.99.165432,sect-articles-surface-physics-nanoscale-physics-low-dimensional-systems,99/16,2019-04-30,"M. Vandelli, M. I. Katsnelson, and E. A. Stepanov",Resonant optical second harmonic generation in graphene-based heterostructures,False,12
10.1103/PhysRevB.99.174101,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/17,2019-05-03,"M. C. Marshall, A. E. Lazicki, D. Erskine, R. A. London, D. E. Fratanduono, P. M. Celliers, J. H. Eggert, F. Coppari, D. C. Swift, P. A. Sterne, H. D. Whitley, and J. Nilsen",Developing quartz and molybdenum as impedance-matching standards in the 100-Mbar regime,False,14
10.1103/PhysRevB.99.174102,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/17,2019-05-08,"A. Barfuss, M. Kasperczyk, J. Kölbl, and P. Maletinsky",Spin-stress and spin-strain coupling in diamond-based hybrid spin oscillator systems,False,25
10.1103/PhysRevB.99.174103,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/17,2019-05-10,"L. Wang, B. Li, X. L. Deng, W. R. Jian, M. Shang, L. Deng, X. M. Zhang, J. F. Tang, and W. Y. Hu",Orientation and grain-boundary dependence of shock-induced plasticity and transformation in nanocrystalline Ti,False,12
10.1103/PhysRevB.99.174104,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/17,2019-05-10,"Linyan Wang, Fei Tian, Xiaowei Liang, Yuhao Fu, Xufeng Mu, Jingying Sun, Xiang-Feng Zhou, Kun Luo, Yang Zhang, Zhisheng Zhao, Bo Xu, Zhifeng Ren, and Guoying Gao",High-pressure phases of boron arsenide with potential high thermal conductivity,False,13
10.1103/PhysRevB.99.174105,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/17,2019-05-14,"Khagesh Tanwar, Deepankar Sri Gyan, Shovit Bhattacharya, Satish Vitta, Akansha Dwivedi, and Tanmoy Maiti",Enhancement of thermoelectric power factor by inducing octahedral ordering in La2−xSrxCoFeO6 double perovskites,False,26
10.1103/PhysRevB.99.174106,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/17,2019-05-15,"Y. K. Frodason, K. M. Johansen, A. Alkauskas, and L. Vines",Negative-U and polaronic behavior of the Zn-O divacancy in ZnO,False,11
10.1103/PhysRevB.99.174107,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/17,2019-05-17,"M. Hinterstein, K.-Y. Lee, S. Esslinger, J. Glaum, A. J. Studer, M. Hoffman, and M. J. Hoffmann",Determining fundamental properties from diffraction: Electric field induced strain and piezoelectric coefficient,False,28
10.1103/PhysRevB.99.174108,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/17,2019-05-17,Kevin F. Garrity,Combined cluster and atomic displacement expansion for solid solutions and magnetism,False,5
10.1103/PhysRevB.99.174109,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/17,2019-05-20,Yifan Zhu and Badreddine Assouar,Multifunctional acoustic metasurface based on an array of Helmholtz resonators,False,68
10.1103/PhysRevB.99.174110,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/17,2019-05-20,"Heather M. Hill, Sugata Chowdhury, Jeffrey R. Simpson, Albert F. Rigosi, David B. Newell, Helmuth Berger, Francesca Tavazza, and Angela R. Hight Walker",Phonon origin and lattice evolution in charge density wave states,False,21
10.1103/PhysRevB.99.174111,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/17,2019-05-20,"D. J. P. Morris, K. Siemensmeyer, J.-U. Hoffmann, B. Klemke, I. Glavatskyi, K. Seiffert, D. A. Tennant, S. V. Isakov, S. L. Sondhi, and R. Moessner",Neutron studies of gauge field and charge in Ih heavy-water ice,False,2
10.1103/PhysRevB.99.174112,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/17,2019-05-29,"Gobinda Das Adhikary, Dipak Kumar Khatua, Anatoliy Senyshyn, and Rajeev Ranjan",Random lattice strain and its relaxation towards the morphotropic phase boundary of Na0.5Bi0.5TiO3-based piezoelectrics: Impact on the structural and ferroelectric properties,False,21
10.1103/PhysRevB.99.174113,sect-articles-structure-structural-phase-transitions-mechanical-properties-defects,99/17,2019-05-30,"Heraclitos M. Lefcochilos-Fogelquist, Oliver R. Albertini, and Amy Y. Liu",Substrate-induced suppression of charge density wave phase in monolayer 1H−TaS2 on Au(111),False,17
10.1103/PhysRevB.99.174201,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/17,2019-05-03,"R. Yamane, K. Komatsu, H. E. Maynard-Casely, S. Lee, N. Booth, and H. Kagi",Search for a ferroelectrically ordered form of ice VII by neutron diffraction under high pressure and high electric field,False,5
10.1103/PhysRevB.99.174202,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/17,2019-05-15,"Adib J. Samin, David A. Andersson, Edward F. Holby, and Blas P. Uberuaga",Ab initio based examination of the kinetics and thermodynamics of oxygen in Fe-Cr alloys,False,7
10.1103/PhysRevB.99.174203,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/17,2019-05-15,"Utkarsh Agrawal, Sarang Gopalakrishnan, and Romain Vasseur","Generalized hydrodynamics, quasiparticle diffusion, and anomalous local relaxation in random integrable spin chains",False,18
10.1103/PhysRevB.99.174204,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/17,2019-05-20,"Artem D. Sinelnik, Kirill B. Samusev, Mikhail V. Rybin, and Mikhail F. Limonov",Unconventional light scattering from glassy photonic films and metasurfaces,False,5
10.1103/PhysRevB.99.174205,sect-articles-inhomogeneous-disordered-and-partially-ordered-systems,99/17,2019-05-20,Tianci Zhou and Adam Nahum,Emergent statistical mechanics of entanglement in random unitary circuits,True,106
10.1103/PhysRevB.99.174301,sect-articles-dynamics-dynamical-systems-lattice-effects,99/17,2019-05-07,"M. Caro, A. Tamm, A. A. Correa, and A. Caro",Role of electrons in collision cascades in solids. I. Dissipative model,False,10
10.1103/PhysRevB.99.174302,sect-articles-dynamics-dynamical-systems-lattice-effects,99/17,2019-05-07,"A. Tamm, M. Caro, A. Caro, and A. A. Correa",Role of electrons in collision cascades in solids. II. Molecular dynamics,False,12
10.1103/PhysRevB.99.174303,sect-articles-dynamics-dynamical-systems-lattice-effects,99/17,2019-05-10,Naoyuki Shibata and Hosho Katsura,Dissipative spin chain as a non-Hermitian Kitaev ladder,False,43
10.1103/PhysRevB.99.174304,sect-articles-dynamics-dynamical-systems-lattice-effects,99/17,2019-05-13,"Yohei Watanabe, Ken-ichi Hino, Nobuya Maeshima, Hrvoje Petek, and Muneaki Hase",Ultrafast asymmetric Rosen-Zener-like coherent phonon responses observed in silicon,False,3
10.1103/PhysRevB.99.174305,sect-articles-dynamics-dynamical-systems-lattice-effects,99/17,2019-05-14,A. N. Darinskii and A. L. Shuvalov,Existence of surface acoustic waves in one-dimensional piezoelectric phononic crystals of general anisotropy,False,10
10.1103/PhysRevB.99.174306,sect-articles-dynamics-dynamical-systems-lattice-effects,99/17,2019-05-16,"Qing Xie, Jiangxu Li, Sami Ullah, Ronghan Li, Lei Wang, Dianzhong Li, Yiyi Li, Seiji Yunoki, and Xing-Qiu Chen",Phononic Weyl points and one-way topologically protected nontrivial phononic surface arc states in noncentrosymmetric WC-type materials,False,34
10.1103/PhysRevB.99.174307,sect-articles-dynamics-dynamical-systems-lattice-effects,99/17,2019-05-17,"Reece P. Roberts, Mathieu L. Juan, and Gabriel Molina-Terriza",Spin-dependent charge state interconversion of nitrogen vacancy centers in nanodiamonds,False,12
10.1103/PhysRevB.99.174308,sect-articles-dynamics-dynamical-systems-lattice-effects,99/17,2019-05-20,"Wen-Bin He, Stefano Chesi, Hai-Qing Lin, and Xi-Wen Guan",Exact quantum dynamics of XXZ central spin problems,False,19
10.1103/PhysRevB.99.174309,sect-articles-dynamics-dynamical-systems-lattice-effects,99/17,2019-05-20,Yong Xu and Ying Hu,Scheme to equilibrate the Hall response of topological systems from coherent dynamics,False,5
10.1103/PhysRevB.99.174310,sect-articles-dynamics-dynamical-systems-lattice-effects,99/17,2019-05-21,Konstantin Y. Bliokh and Franco Nori,Spin and orbital angular momenta of acoustic beams,False,77
10.1103/PhysRevB.99.174311,sect-articles-dynamics-dynamical-systems-lattice-effects,99/17,2019-05-23,Aritra Lahiri and Soumya Bera,Dynamical quantum phase transitions in Weyl semimetals,False,6
10.1103/PhysRevB.99.174312,sect-articles-dynamics-dynamical-systems-lattice-effects,99/17,2019-05-23,Sven Reichardt and Ludger Wirtz,Theory of resonant Raman scattering: Towards a comprehensive ab initio description,False,7
10.1103/PhysRevB.99.174313,sect-articles-dynamics-dynamical-systems-lattice-effects,99/17,2019-05-28,"Mauro Schiulaz, E. Jonathan Torres-Herrera, and Lea F. Santos",Thouless and relaxation time scales in many-body quantum systems,False,71
10.1103/PhysRevB.99.174314,sect-articles-dynamics-dynamical-systems-lattice-effects,99/17,2019-05-29,S. T. Weber and B. Rethfeld,Phonon-induced long-lasting nonequilibrium in the electron system of a laser-excited solid,False,15
10.1103/PhysRevB.99.174401,sect-articles-magnetism,99/17,2019-05-01,"Yu Feng, Xiaowen Zhang, Yiqing Hao, A. D. Hillier, D. T. Adroja, and Jun Zhao",Magnetic ground state of KCr3As3,False,6
10.1103/PhysRevB.99.174402,sect-articles-magnetism,99/17,2019-05-02,"Tao Yu, Sanchar Sharma, Yaroslav M. Blanter, and Gerrit E. W. Bauer",Surface dynamics of rough magnetic films,False,13
10.1103/PhysRevB.99.174403,sect-articles-magnetism,99/17,2019-05-06,Matthias Gruber and Viktor Eisler,Magnetization and entanglement after a geometric quench in the XXZ chain,False,16
10.1103/PhysRevB.99.174404,sect-articles-magnetism,99/17,2019-05-06,"Olav F. Syljuåsen, Jens Paaske, and Michael Schecter",Interplay between magnetic and vestigial nematic orders in the layered J1−J2 classical Heisenberg model,False,2
10.1103/PhysRevB.99.174405,sect-articles-magnetism,99/17,2019-05-07,Mehdi Amara,Dynamical splitting of cubic crystal field levels in rare-earth cage compounds,False,4
10.1103/PhysRevB.99.174406,sect-articles-magnetism,99/17,2019-05-09,"Z. Z. Luan, L. F. Zhou, P. Wang, S. Zhang, J. Du, J. Xiao, R. H. Liu, and D. Wu",Enhanced spin accumulation in metallic bilayers with opposite spin Hall angles,False,10
10.1103/PhysRevB.99.174407,sect-articles-magnetism,99/17,2019-05-10,"M.-T. Suzuki, T. Nomoto, R. Arita, Y. Yanagi, S. Hayami, and H. Kusunose",Multipole expansion for magnetic structures: A generation scheme for a symmetry-adapted orthonormal basis set in the crystallographic point group,True,51
10.1103/PhysRevB.99.174408,sect-articles-magnetism,99/17,2019-05-10,"Serkan Akansel, Ankit Kumar, Vijayaharan A. Venugopal, Raquel Esteban-Puyuelo, Rudra Banerjee, Carmine Autieri, Rimantas Brucas, Nilamani Behera, Mauricio A. Sortica, Daniel Primetzhofer, Swaraj Basu, Mark A. Gubbins, Biplab Sanyal, and Peter Svedlindh",Enhanced Gilbert damping in Re-doped FeCo films: Combined experimental and theoretical study,False,3
10.1103/PhysRevB.99.174409,sect-articles-magnetism,99/17,2019-05-13,"L. Desplat, J.-V. Kim, and R. L. Stamps",Paths to annihilation of first- and second-order (anti)skyrmions via (anti)meron nucleation on the frustrated square lattice,False,32
10.1103/PhysRevB.99.174410,sect-articles-magnetism,99/17,2019-05-13,"Johannes Kroder, Kaustuv Manna, Dominik Kriegner, A. S. Sukhanov, Enke Liu, Horst Borrmann, Andreas Hoser, Johannes Gooth, Walter Schnelle, Dmytro S. Inosov, Gerhard H. Fecher, and Claudia Felser",Spin glass behavior in the disordered half-Heusler compound IrMnGa,False,23
10.1103/PhysRevB.99.174411,sect-articles-magnetism,99/17,2019-05-14,"G. G. Blesio, M. G. Gonzalez, and F. T. Lisandrini",Magnetic phase diagram of the infinite-U Hubbard model with nearest- and next-nearest-neighbor hoppings,False,1
10.1103/PhysRevB.99.174412,sect-articles-magnetism,99/17,2019-05-14,M. Malki and G. S. Uhrig,Topological magnon bands for magnonics,False,24
10.1103/PhysRevB.99.174413,sect-articles-magnetism,99/17,2019-05-15,"Xing-tao Jia, Ping-Ping Wu, Li-Wei Zhang, and Hui-Min Tang",Basic circuit element for the implementation of base-3 and base-4 algorithms realized by an asymmetric MgO-based double-barrier magnetic tunnel junction,False,1
10.1103/PhysRevB.99.174414,sect-articles-magnetism,99/17,2019-05-16,"Charles Penny, Adrian R. Muxworthy, and Karl Fabian",Mean-field modelling of magnetic nanoparticles: The effect of particle size and shape on the Curie temperature,False,6
10.1103/PhysRevB.99.174415,sect-articles-magnetism,99/17,2019-05-17,"Philippe Scheid, Gregory Malinowski, Stéphane Mangin, and Sébastien Lebègue",Ab initio study of electronic temperature effects on magnetic materials properties,False,4
10.1103/PhysRevB.99.174416,sect-articles-magnetism,99/17,2019-05-17,"R. Grimaudo, N. V. Vitanov, and A. Messina",Coupling-assisted Landau-Majorana-Stückelberg-Zener transition in a system of two interacting spin qubits,False,12
